what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1348226269207
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1348226273193
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1348226277132
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1348226279279
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348226282318
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348226283462
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348226286077
activated,view,com.android.ide.eclipse.ddms,18.0.0.v201203301601-306762,"com.android.ide.eclipse.ddms.views.LogCatView",1348226292268
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348226292273
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1348226292292
activated,view,com.android.ide.eclipse.ddms,18.0.0.v201203301601-306762,"com.android.ide.eclipse.ddms.views.LogCatView",1348226292307
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348226298972
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348226341607
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1348226344377
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1348226346806
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1348226355706
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1348226356817
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1348226357471
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1348226361115
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1348226362677
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1348226368946
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348226373135
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348226374141
activated,view,com.android.ide.eclipse.ddms,18.0.0.v201203301601-306762,"com.android.ide.eclipse.ddms.views.LogCatView",1348226375792
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1348226377139
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348226377734
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348226382943
activated,view,com.android.ide.eclipse.ddms,18.0.0.v201203301601-306762,"com.android.ide.eclipse.ddms.views.LogCatView",1348226383083
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348226384149
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348226385155
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348226387400
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348226395639
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1348226397454
activated,view,com.android.ide.eclipse.ddms,18.0.0.v201203301601-306762,"com.android.ide.eclipse.ddms.views.LogCatView",1348226400414
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348226412488
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348226413555
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348226416756
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348228754012
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348228756970
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348230167531
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348230168390
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348230169907
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348231301816
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348231302876
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348231304412
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348231304546
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348231305275
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348231305507
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348231306157
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348231307100
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348231307592
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.200.20111228-1245,"org.eclipse.m2e.logback.configuration",1348231311140
stopped,bundle,org.eclipse.m2e.discovery,1.0.200.20111228-1245,"org.eclipse.m2e.discovery",1348231311155
stopped,bundle,org.eclipse.m2e.refactoring,1.0.200.20111228-1245,"org.eclipse.m2e.refactoring",1348231311179
stopped,bundle,org.eclipse.m2e.editor,1.0.200.20111228-1245,"org.eclipse.m2e.editor",1348231311198
stopped,bundle,org.eclipse.m2e.editor.xml,1.0.200.20111228-1245,"org.eclipse.m2e.editor.xml",1348231311205
stopped,bundle,org.eclipse.m2e.jdt,1.0.200.20111228-1245,"org.eclipse.m2e.jdt",1348231311217
stopped,bundle,org.eclipse.m2e.launching,1.0.200.20111228-1245,"org.eclipse.m2e.launching",1348231311218
stopped,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1348231311218
stopped,bundle,overlay.com.android.ide.eclipse.adt.overlay,18.0.0.v201203301601-306762,"overlay.com.android.ide.eclipse.adt.overlay",1348231311230
stopped,bundle,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.adt",1348231311230
stopped,bundle,org.eclipse.ui.cheatsheets,3.4.100.v20110425,"org.eclipse.ui.cheatsheets",1348231311239
stopped,bundle,org.eclipse.help.ui,3.5.101.r37_20110819,"org.eclipse.help.ui",1348231311251
stopped,bundle,org.eclipse.help.webapp,3.6.1.r37_20110929,"org.eclipse.help.webapp",1348231311262
stopped,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1348231311262
stopped,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1348231311292
stopped,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1348231311362
stopped,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1348231311415
stopped,bundle,org.eclipse.help.base,3.6.2.v201202080800,"org.eclipse.help.base",1348231311415
stopped,bundle,org.eclipse.equinox.http.jetty,2.0.100.v20110502,"org.eclipse.equinox.http.jetty",1348231311431
stopped,bundle,org.eclipse.m2e.core.ui,1.0.200.20111228-1245,"org.eclipse.m2e.core.ui",1348231311481
stopped,bundle,org.eclipse.m2e.core,1.0.200.20111228-1245,"org.eclipse.m2e.core",1348231311481
stopped,bundle,org.eclipse.mylyn.ide.ant,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ant",1348231311506
stopped,bundle,org.eclipse.ant.ui,3.5.101.v20120110-1739,"org.eclipse.ant.ui",1348231311525
stopped,bundle,org.eclipse.ant.launching,1.0.101.v20120110-1739,"org.eclipse.ant.launching",1348231311550
stopped,bundle,org.eclipse.compare.win32,1.0.200.I20110510-0800,"org.eclipse.compare.win32",1348231311594
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1348264039397
started,bundle,org.eclipse.osgi,3.7.2.v20120110-1415,"org.eclipse.osgi",1348264039397
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110815-1438,"org.eclipse.equinox.simpleconfigurator",1348264039397
started,bundle,com.ibm.icu,4.4.2.v20110823,"com.ibm.icu",1348264039407
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1348264039407
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1348264039407
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1348264039407
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,"org.eclipse.core.expressions",1348264039407
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110928-1504,"org.eclipse.core.filebuffers",1348264039417
