what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347778373942
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1347778378785
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347778379930
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347778380801
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347778381083
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347778451457
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1347778454737
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1347778458921
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1347778459057
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1347778459855
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347778473703
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347778473830
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1347778476341
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347778476692
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347778479545
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1347778480979
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1347778481046
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1347778481479
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347778491431
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347778491621
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347778493879
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347778509875
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1347778512852
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1347778514339
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1347778514896
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1347778515318
started,bundle,org.eclipse.m2e.launching,1.0.200.20111228-1245,"org.eclipse.m2e.launching",1347778517737
