what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1348472691532
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348472691890
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348472708853
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1348472719941
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348472725348
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348472725456
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1348472734048
activated,view,com.android.ide.eclipse.ddms,20.0.3.v201208082019-427395,"com.android.ide.eclipse.ddms.views.LogCatView",1348472741512
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348472741610
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348472744488
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1348472744507
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1348472753674
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1348472755718
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1348472760176
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348472763742
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348472792392
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348472797019
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348472866673
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1348472875236
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.format",1348472875824
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348472878146
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348472881039
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1348472881115
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1348472892827
opened,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1348472900928
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1348472900963
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1348472904958
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1348472911287
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1348472912662
activated,view,com.android.ide.eclipse.ddms,20.0.3.v201208082019-427395,"com.android.ide.eclipse.ddms.views.LogCatView",1348472919790
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348472921332
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348472924633
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1348472924652
activated,view,com.android.ide.eclipse.ddms,20.0.3.v201208082019-427395,"com.android.ide.eclipse.ddms.views.LogCatView",1348472927131
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1348472929525
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.101.v201102111830,"org.eclipse.wst.xsl.debug.ui",1348472929621
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1348472931699
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348472931783
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348472934687
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1348472934828
started,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1348472934941
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1348472934987
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1348472944559
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1348472956513
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1348472962631
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1348472967092
started,bundle,org.eclipse.jdt.junit.core,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit.core",1348472967939
started,bundle,org.eclipse.wst.server.core,1.1.208.v20111005_1734,"org.eclipse.wst.server.core",1348472968050
started,bundle,org.eclipse.wst.server.ui,1.1.209.v20111005_1716,"org.eclipse.wst.server.ui",1348472968071
started,bundle,org.eclipse.wst.common.frameworks,1.2.1.v201107271600,"org.eclipse.wst.common.frameworks",1348472968211
started,bundle,org.eclipse.wst.common.emf,1.2.3.v201012100400,"org.eclipse.wst.common.emf",1348472968231
started,bundle,org.eclipse.jem.util,2.1.3.v201012070000,"org.eclipse.jem.util",1348472968241
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.4.v201106210700,"org.eclipse.wst.common.emfworkbench.integration",1348472968528
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1348472968568
started,bundle,org.eclipse.wst.common.modulecore,1.2.7.v201110060300,"org.eclipse.wst.common.modulecore",1348472968579
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348472969570
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348472970822
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1348472972349
activated,view,com.android.ide.eclipse.ddms,20.0.3.v201208082019-427395,"com.android.ide.eclipse.ddms.views.LogCatView",1348472973574
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348472988812
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348473078205
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1348473078231
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348473087750
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348473095941
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348473101037
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348473125472
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1348473135420
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348473138729
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348473139777
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348473149088
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348473181243
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1348473183983
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348473187371
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348473188209
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348473190430
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348473200964
activated,view,com.android.ide.eclipse.ddms,20.0.3.v201208082019-427395,"com.android.ide.eclipse.ddms.views.LogCatView",1348473204024
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348473207341
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348473209506
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348473215198
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348473217050
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1348473227446
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1348473240167
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348473242257
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348473245611
activated,view,com.android.ide.eclipse.ddms,20.0.3.v201208082019-427395,"com.android.ide.eclipse.ddms.views.LogCatView",1348473253501
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1348473259310
started,bundle,org.eclipse.wst.sse.ui,1.2.5.v201108191505,"org.eclipse.wst.sse.ui",1348473261466
started,bundle,org.eclipse.wst.xml.ui,1.1.105.v201106142156,"org.eclipse.wst.xml.ui",1348473261537
started,bundle,org.eclipse.wst.xsl.core,1.1.0.v201004290328,"org.eclipse.wst.xsl.core",1348473261640
started,bundle,org.eclipse.wst.xsl.exslt.core,1.0.0.v201005240426,"org.eclipse.wst.xsl.exslt.core",1348473261658
started,bundle,org.eclipse.jst.jsp.ui,1.1.505.v201110211728,"org.eclipse.jst.jsp.ui",1348473261863
started,bundle,org.eclipse.jst.jsp.core,1.2.308.v201109202150,"org.eclipse.jst.jsp.core",1348473261983
started,bundle,org.eclipse.wst.validation,1.2.204.v201109220700,"org.eclipse.wst.validation",1348473262148
started,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1348473262317
started,bundle,org.eclipse.wst.xsl.ui,1.1.1.v201009091745,"org.eclipse.wst.xsl.ui",1348473262355
opened,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1348473262421
activated,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1348473262643
started,bundle,org.eclipse.jst.j2ee.core,1.2.7.v201110060300,"org.eclipse.jst.j2ee.core",1348473263808
started,bundle,org.eclipse.jem,2.0.402.v201106132000,"org.eclipse.jem",1348473263842
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.0.v201004080500,"org.eclipse.wst.common.frameworks.ui",1348473263897
started,bundle,org.eclipse.jst.j2ee,1.1.406.v201110130300,"org.eclipse.jst.j2ee",1348473263968
started,bundle,org.eclipse.jem.workbench,2.0.301.v201104271300,"org.eclipse.jem.workbench",1348473264023
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1348473264158
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1348473271019
started,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1348473271109
started,bundle,org.eclipse.wst.html.ui,1.0.505.v201106160200,"org.eclipse.wst.html.ui",1348473271151
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1348473271917
opened,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.CommonXmlEditor",1348473272267
activated,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.CommonXmlEditor",1348473272353
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1348473274965
started,bundle,org.eclipse.pde.core,3.6.2.v20110210_r362,"org.eclipse.pde.core",1348473275294
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1348473275701
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348473278375
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.200.v201004150600,"org.eclipse.wst.jsdt.manipulation",1348473279342
started,bundle,org.eclipse.wst.jsdt.core,1.1.8.v201109150205,"org.eclipse.wst.jsdt.core",1348473279636
started,bundle,org.eclipse.wst.jsdt.ui,1.1.7.v201109150205,"org.eclipse.wst.jsdt.ui",1348473279733
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348473280459
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1348473280492
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1348473285062
closed,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.CommonXmlEditor",1348473286491
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1348473288545
