what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348558416107
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348558421023
activated,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.CommonXmlEditor",1348558422822
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348558426779
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348558427750
error,log,,,"Failed to load properties file for project 'ServerProject'",1348558428873
error,log,,,"null",1348558428878
error,log,,,"Failed to load properties file for project 'ServerProject'",1348558431887
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348558433131
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348558435850
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1348558448963
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348558449426
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348558459477
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1348558460872
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1348558463147
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348558466978
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348558474925
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348558479267
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348558627948
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.101.v201102111830,"org.eclipse.wst.xsl.debug.ui",1348558628654
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348558638082
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348558642876
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348558654066
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348560065147
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1348560070515
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348560071895
